name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
Kepler-1991 c,Kepler-1991,2023,Transit,855.82,22.7902,2.57,,634
HATS-36 b,HATS-36,2018,Transit,856.44,4.1752,12.92,,1203
HATS-26 b,HATS-26,2016,Transit,861.84,3.3024,19.62,206.59,1918
Kepler-1610 c,Kepler-1610,2023,Transit,864.33,44.9852,2.09,,433
Kepler-1978 b,Kepler-1978,2023,Transit,865.51,10.8497,2.67,,676
Kepler-391 b,Kepler-391,2014,Transit,869.24,7.4175,2.5,1100.0,930
Kepler-391 c,Kepler-391,2014,Transit,869.24,20.501,2.88,450.0,662
K2-253 b,K2-253,2018,Transit,876.57,4.0017,12.67,,1238
K2-97 b,K2-97,2016,Transit,878.43,8.4071,13.45,174.49,1566
HATS-39 b,HATS-39,2018,Transit,878.52,4.5776,17.6,200.23,1645
Kepler-12 b,Kepler-12,2011,Transit,881.39,4.438,19.66,137.3,1480
CoRoT-5 b,CoRoT-5,2009,Transit,882.47,4.0379,15.56,148.42,1438
KOI-3503 b,KOI-3503,2021,Transit,887.06,21.185,1.19,9.2,785
KOI-3503 c,KOI-3503,2021,Transit,887.06,31.828,1.21,10.36,686
Kepler-656 c,Kepler-656,2023,Transit,890.35,5.2545,1.41,,975
Kepler-164 e,Kepler-164,2023,Transit,890.76,94.8869,4.24,,429
NGTS-16 b,NGTS-16,2021,Transit,898.17,4.8453,14.57,211.99,1177
Kepler-5 b,Kepler-5,2009,Transit,899.78,3.5485,15.98,670.94,1750
Kepler-619 d,Kepler-619,2023,Transit,900.68,11.6789,4.17,,830
Kepler-1518 c,Kepler-1518,2023,Transit,903.51,9.631,2.9,,1094
Kepler-1986 b,Kepler-1986,2023,Transit,912.09,19.549,1.89,,579
Kepler-430 b,Kepler-430,2015,Transit,917.48,35.968,3.25,,667
Kepler-430 c,Kepler-430,2015,Transit,917.48,110.979,1.75,,458
KOI-3680 b,KOI-3680,2018,Transit,921.99,141.2417,11.1,613.41,347
Kepler-7 b,Kepler-7,2009,Transit,922.56,4.8855,18.18,140.16,1630
CoRoT-36 b,CoRoT-36,2022,Transit,925.96,5.6165,15.8,216.12,1567
Kepler-101 c,Kepler-101,2014,Transit,927.98,6.0298,1.25,3.78,1413
Kepler-101 b,Kepler-101,2014,Transit,927.98,3.4877,5.77,51.1,1513
Kepler-1921 c,Kepler-1921,2023,Transit,928.99,3.1572,1.41,,1791
Kepler-1894 c,Kepler-1894,2023,Transit,935.19,5.0537,1.21,,1007
HAT-P-66 b,HAT-P-66,2016,Transit,935.46,2.9721,17.82,248.86,1896
Kepler-1181 c,Kepler-1181,2023,Transit,938.42,8.9348,1.83,,1124
Kepler-1162 c,Kepler-1162,2023,Transit,940.21,59.2841,1.81,,401
NGTS-27 b,NGTS-27,2024,Transit,942.12,3.3704,15.65,188.47,1783
Kepler-1052 c,Kepler-1052,2023,Transit,943.44,180.9217,2.3,,302
HATS-11 b,HATS-11,2016,Transit,944.6,3.6192,18.03,,1596
HATS-67 b,HATS-67,2018,Transit,960.11,1.6092,18.89,460.85,2193
Kepler-763 d,Kepler-763,2023,Transit,962.46,6.5033,1.67,,804
Kepler-763 c,Kepler-763,2023,Transit,962.46,4.0967,1.42,,938
Kepler-58 e,Kepler-58,2023,Transit,969.25,4.4581,1.61,,1212
Kepler-1471 c,Kepler-1471,2023,Transit,978.68,11.6045,1.88,,841
Kepler-43 b,Kepler-43,2011,Transit,1005.84,3.0241,13.66,1026.59,1620
CoRoT-27 b,CoRoT-27,2014,Transit,1010.28,3.5753,11.29,3302.11,1500
Kepler-1487 c,Kepler-1487,2023,Transit,1014.62,35.8007,7.97,,991
Kepler-427 b,Kepler-427,2014,Transit,1017.8,10.291,13.79,92.17,1100
Kepler-8 b,Kepler-8,2010,Transit,1021.87,3.5225,15.87,187.52,1680
Kepler-1993 b,Kepler-1993,2023,Transit,1031.91,26.6566,4.15,,903
PH1 b,PH1,2012,Transit,1033.16,138.317,6.18,169.0,481
K2-52 b,K2-52,2016,Transit,1038.41,3.5351,18.0,,2004
NGTS-17 b,NGTS-17,2021,Transit,1040.28,3.2425,13.9,242.82,1457
CoRoT-26 b,CoRoT-26,2013,Transit,1045.18,4.2047,14.12,165.26,1600
Kepler-39 b,Kepler-39,2011,Transit,1057.41,21.0872,13.9,6388.1,897
CoRoT-23 b,CoRoT-23,2011,Transit,1060.97,3.6313,11.77,889.9,1660
NGTS-23 b,NGTS-23,2022,Transit,1074.95,4.0764,14.2,194.83,1327
Kepler-1979 b,Kepler-1979,2023,Transit,1076.27,18.5085,29.33,,683
HATS-64 b,HATS-64,2018,Transit,1080.15,4.9089,18.82,305.12,1793
Kepler-412 b,Kepler-412,2014,Transit,1086.24,1.7209,15.03,299.08,1850
Kepler-41 b,Kepler-41,2011,Transit,1093.08,1.8556,14.46,177.98,1790
NGTS-26 b,NGTS-26,2024,Transit,1093.69,4.5199,14.89,92.81,1331
NGTS-18 b,NGTS-18,2021,Transit,1096.19,3.0513,13.56,129.99,1381
CoRoT-25 b,CoRoT-25,2013,Transit,1103.48,4.8607,12.11,85.81,1330
CoRoT-35 b,CoRoT-35,2022,Transit,1123.21,3.2275,18.83,349.61,1747
CoRoT-12 b,CoRoT-12,2010,Transit,1126.37,2.828,16.14,291.44,1442
HATS-15 b,HATS-15,2016,Transit,1139.55,1.7475,12.39,689.69,1505
CoRoT-13 b,CoRoT-13,2010,Transit,1148.93,4.0352,9.92,415.7,1700
KOI-134 b,KOI-134,2025,Transit,1159.21,67.1277,12.04,346.43,659
Kepler-38 b,Kepler-38,2012,Transit,1174.59,105.599,4.3,122.0,475
CoRoT-17 b,CoRoT-17,2011,Transit,1176.12,3.7681,11.43,772.29,1626
Kepler-74 b,Kepler-74,2013,Transit,1177.55,7.3407,10.76,200.22,1078
Kepler-44 b,Kepler-44,2011,Transit,1188.0,3.2467,12.22,317.82,1544
TIC 183374187 b,TIC 183374187,2026,Transit,1208.75,5.0591,14.03,177.98,1379
Kepler-434 b,Kepler-434,2015,Transit,1222.54,12.8747,12.67,908.96,1000
Kepler-87 c,Kepler-87,2013,Transit,1232.9,191.2318,6.14,6.4,403
Kepler-87 b,Kepler-87,2013,Transit,1232.9,114.7364,13.49,324.2,478
Kepler-1989 b,Kepler-1989,2023,Transit,1252.13,10.161,4.62,,904
Kepler-91 b,Kepler-91,2013,Transit,1294.69,6.2466,15.32,257.44,2040
Kepler-347 d,Kepler-347,2023,Transit,1298.88,85.5173,3.04,,482
Kepler-784 c,Kepler-784,2023,Transit,1303.72,17.1572,1.55,,844
Kepler-1976 b,Kepler-1976,2023,Transit Timing Variations,1314.51,4.9593,12.21,,1103
Kepler-1859 c,Kepler-1859,2023,Transit,1331.25,3.5965,1.66,,1327
HATS-40 b,HATS-40,2018,Transit,1342.29,3.2643,17.71,505.35,2101
Kepler-435 b,Kepler-435,2015,Transit,1418.77,8.6002,22.31,266.97,1729
Kepler-117 b,Kepler-117,2014,Transit,1455.57,18.7959,8.06,29.88,984
Kepler-117 c,Kepler-117,2014,Transit,1455.57,50.7904,12.34,584.78,704
HATS-70 b,HATS-70,2019,Transit,1458.83,1.8882,15.51,4100.01,2730
HATS-66 b,HATS-66,2018,Transit,1477.98,3.1414,15.82,1694.03,1998
Kepler-1997 b,Kepler-1997,2023,Transit,1502.34,26.7576,2.28,,660
Kepler-1980 b,Kepler-1980,2023,Transit,1709.4,33.0257,2.21,,564
CoRoT-14 b,CoRoT-14,2010,Transit,1744.6,1.5121,12.22,2415.4,1952
Kepler-433 b,Kepler-433,2015,Transit,1878.31,5.3341,16.25,896.24,1776
Kepler-730 b,Kepler-730,2016,Transit,1935.04,6.4917,12.33,,1219
Kepler-730 c,Kepler-730,2018,Transit,1935.04,2.8519,1.57,,1607
OGLE-TR-132 b,OGLE-TR-132,2004,Transit,2012.62,1.6899,13.45,375.02,2013
Kepler-864 c,Kepler-864,2023,Transit,2022.9,2.4215,1.62,,1532
Kepler-1491 c,Kepler-1491,2023,Transit,2065.59,61.5698,2.44,,530
Kepler-40 b,Kepler-40,2010,Transit,2305.01,6.8735,13.11,699.2,1620
Kepler-896 c,Kepler-896,2023,Transit,2334.93,29.5423,3.15,,515
WTS-1 b,WTS-1,2012,Transit,2346.01,3.3521,16.7,1274.44,1500
